Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDH00331AA,HANON AUTOMOTIVE SYSTEMS,0304ABG00331N,THAR 5DOOR (W502),DIMN - DIMENSION,Outlet Spout OD 1,0,2.32,2.18
DDH00331AA,HANON AUTOMOTIVE SYSTEMS,0304ABG00331N,THAR 5DOOR (W502),DIMN - DIMENSION,Outlet Spout OD 2,50,2.32,2.18
DDS00186AB,SKF INDIA LIMITED,0502BAA13621N,THAR 5DOOR (W502),OUTER DIAMETER,Outer Diamter,76.225,2.22,2.18
DDS00186AB,SKF INDIA LIMITED,0502BAA13631N,THAR 5DOOR (W502),OUTER DIAMETER,Outer Diameter,82.575,2.22,2.18
DDL00022AA,LUMAX INDUSTRIES LIMITED,1701AW500101N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,9,2.71,2.17
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06670N,THAR 5DOOR (W502),OUTER DIAMETER,Seal Dia 40,40,2.57,2.17
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,Seat forward sliding effort,100,2.655,2.169
DDR00083AC,RANE MADRAS LIMITED,1101AAA03621N,THAR 5DOOR (W502),ANGLE,ANGLE,18.9,2.525,2.169
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),INNER DIAMETER,Seal Pressing ID RH,62.0 +0.048/-0.00,2.787,2.161
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301AW502920M,THAR 5DOOR (W502),EFFORRS,Glove Box Closing Effort,45,3.84,2.16
DDA00310AA,ATHARVA FOUNDRIES PVT. LTD,0502BAA15590N004,THAR 5DOOR (W502),INNER DIAMETER,DOWEL DIA,9.00/9.020,3.371,2.151
DDT00044AB,TATA TOYO RADIATOR LTD,0702AAJ00221N,THAR 5DOOR (W502),THICKNESS,Bead Thickness,2,2.17,2.15
DDM00018AC,Motherson Sumi Wiring,1801CW501350N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.15,2.32,2.14
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA01211N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,23.25,2.90,2.14
