Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),RUNOUT,Lateral Runout - 0.3 mm,0.3,1.92,1.77
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),GAP / FLUSH,Flush1-Fuel Lid Periphery,0,2.08,1.76
DDE00070AA,ESSAE GEARS AND TRANSMISSIONS,0502BAA14010N,THAR 5DOOR (W502),OUTER DIAMETER,Oil Seal OD 46.6,46.6,1.94,1.76
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),PROFILE,SP4- CTQ Panel Matching Surface,0,1.84,1.76
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00720N,THAR 5DOOR (W502),RUNOUT,Top Brake Face Runout,0,1.85,1.76
DDN00013AA,NEW MELTING CENTRE,0601AAA00890N,THAR 5DOOR (W502),THICKNESS,Hat Thickness,7,1.78,1.76
DDU00161AA,UNO MINDARIKA PVT LTD,1705DW500121N,THAR 5DOOR (W502),DIMN - DIMENSION,Slot Dimension,5.5,1.99,1.76
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,Recliner lever operating force,40,2.276,1.759
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),THICKNESS,Top side,2.5,5.41,1.75
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,Fascia Bumper RR 4 Way Locator- Z,738.002,3.23,1.74
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06070N,THAR 5DOOR (W502),OUTER DIAMETER,Bearing Dia,49,1.93,1.74
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,HR operating effort UP,50,3.204,1.732
