Serial Number,Attribution,SAP Claim No,Commodity,Decision
S2D22312,,,,RV
S2E24897,,,,RV
S2E27903,,,,RV
S2E34336,,,,RV
S2F39715,,,,RV
S2F42309,,,,RV
R2H20964,,,,MTN
R2H28967,,,,MTN
S2E33859,,,,MTN
S2F38502,,,,MTN
R2G14340,ANALYSIS SCRAP,,,SM
R2G18065,ANALYSIS SCRAP,,,SM
R2H23388,,,,SM
R2H29215,,,,SM
R2J37193,,,,SM
R2L17303,,,,SM
S2A15859,,,,SM
S2F40141,CONSEQUENTIAL SCRAP,,,SM
S2F44545,DESIGN SCRAP,,,SM
S2F44715,,,,SM
S2F44715,,,,SM
S2F44715,CONSEQUENTIAL SCRAP,,,SM
R2M28802,,,,RV
R2M28802,,,,RV
R2M32564,,,,RV
R2M32564,,,,RV
R2M37635,,,,RV
R2M38302,,,BODY,RV
R2M38305,,,,RV
S2A12039,,,,RV
S2B29381,,,,RV
S2B30727,,,,RV
S2C35876,,,,RV
S2E30407,,,,RV
S2E33337,,,,RV
S2E34612,,,,RV
S2F38795,,,,RV
S2G18251,,,,RV
R2J31009,,,,RS
R2L26636,,,,RS
R2L26636,,,,RS
R2L26636,,,,RS
R2L26636,,,,RS
S2D19439,,,,RS
S2D22314,,,,RS
R2G15387,,,,MTN
R2M35671,,,,MTN
R2M36769,,,,MTN
S2A10062,,,,MTN
S2A11791,,,,MTN
S2A19999,,,,MTN
S2B30727,,,,MTN
S2C37421,,,,MTN
S2C42539,,,,MTN
S2D15080,,,,MTN
S2F41523,,,,MTN
S2G12434,,,,MTN
R2J34955,,,,RV
R2K12737,,,,RV
R2K47126,,,,RV
R2L18185,,,,RV
R2L25074,,,,RV
R2M32156,,,,RV
R2M38341,,,,RV
S2A14106,,,,RV
S2B25434,,,,RV
S2B25434,,,,RV
S2D10471,,,,RV
S2D13977,,,,RV
S2D15022,,,,RV
S2D15201,,,,RV
S2D19625,,,,RV
S2E35178,,,,RV
S2C37702,,,,MTN
S2C43359,,,,MTN
R2H28908,,,,SM
R2J31607,,,,SM
R2J34906,,,,SM
R2J35820,,,,SM
R2J36800,ANALYSIS SCRAP,,,SM
R2J41605,ANALYSIS SCRAP,,,SM
R2K11728,,,,SM
R2L19122,,,,SM
R2L20729,,,,SM
R2L26479,,,,SM
R2M30843,,,,SM
R2M31925,,,,SM
R2M33651,,,,SM
S2A17149,,,,SM
S2A17558,,,,SM
S2B33875,,,,SM
S2C36397,ANALYSIS SCRAP,,,SM
S2C41749,,,,SM
S2D14836,,,,SM
S2F40360,,,,SM
R2G16792,,,,RV
R2G17238,,,,RV
R2J40976,,,,RV
R2K13170,,,,RV
R2K43139,,,,RV
R2K47023,,,,RV
R2K47595,,,,RV
R2L17306,,,,RV
R2L18175,,,,RV
R2L26736,,,,RV
R2M32555,,,,RV
R2M32648,,,,RV
R2M34481,,,,RV
R2M37078,,,,RV
S2A12573,,,,RV
S2A17356,,,,RV
S2A18968,,,,RV
S2C40067,,,,RV
S2C40213,,,,RV
S2C45474,,,,RV
S2D14274,,,,RV
S2D19897,,,,RV
S2E24817,,,,RV
S2E25081,,,,RV
S2E25574,,,,RV
S2E26455,,,,RV
S2E27433,,,,RV
S2E32501,,,,RV
S2E32945,,,,RV
S2F38590,,,,RV
S2F42442,,,,RV
S2F45550,,,,RV
S2F46746,,,,RV
R2J38885,,,,RS
R2M32547,,,,RS
S2C39706,,,,RS
S2D10243,PSC - DNR,,,RS
S2E29018,,,,RS
S2E29234,PSC - DNR,,,RS
S2E35206,,,,RS
S2E35206,,,,RS
