Concern Report Date,Part No,Vendor Name,Concern Description,Vehicle Model,Qty. Reported,Initial Analysis & Reason for Attributio,Reason for ICA Not Possible,ICA Details at M&M,ICA Failure,Segregation Qty,OK Qty,Rejection(BLock)Qty (344 and 350 Mvt),Scarp Qty(951 and 551 Mvt),Rework Qty,Deviation Qty,Line Loss,Yard Hold,ESQA Entry Required,Justification for ESQA Not Required,ESQA Number
2024-09-11,2302AW501810V,PLASTIC OMNIUM AUTO EXTERIORS (INDI,Paint Uncover At Top Side,THAR ROXX,1,Paint Uncover At Top Side,,ICA started by visually checking,N,105,103,2,0,0,0,N,N,Y,,2014124346.0
2024-09-06,0107BW500481N,ALP NISHIKAWA,White mark on Seal-Sealer ozz out,THAR ROXX,1,White mark on Seal-Sealer ozz out,,ICA started by visually checking,N,220,188,32,0,0,0,N,N,Y,,2014126492.0
2024-09-10,2303BW501610N,Varroc Polymers Ltd,Wrong identification sticker,THAR ROXX,2,Wrong identification sticker-RH sticker pasted on LH bezel,,ICA started by visually checking,N,91,89,0,0,2,0,N,N,Y,,2014126505.0
2024-09-10,2402AW500281A,MSKH SEATING SYSTEMS INDIA (P) LTD,40% rear seat recliner not locking,THAR ROXX,1,40% rear seat recliner not locking,,ICA started by manually,N,34,32,2,0,0,0,N,N,Y,,2014126551.0
2024-09-11,2302AW501810T,PLASTIC OMNIUM AUTO EXTERIORS (INDI,Traceability not possible,THAR ROXX,1,"PIC : 002 ( Wrong), PIC : 003 ( Correct ) & Barcode format observed wrong",,ICA started by visually checking,N,135,119,1,0,15,0,N,N,Y,,2014126262.0
2024-09-11,0101EW503950N,MAHINDRA CIE AUTOMOTIVE LTD.,Nogo TPG  gauge pass in M10 Nut.,THAR ROXX,1,Nogo TPG  gauge pass in M10 Nut.,,100% Part Inspection.,N,0,0,2,0,0,0,N,N,Y,,2014126498.0
2024-09-11,0101BW502700N,JBM AUTO LIMITED,Part 60mm Crack Obsd.,THAR ROXX,1,Part 60mm Crack Obsd.,,100% Part Inspection.,N,135,133,2,0,0,0,N,N,Y,,2014126509.0
2024-09-10,1105DAA02621N,LS Automotive India Pvt Ltd,DTC Error : Driver AIRBAG open,THAR ROXX,1,DTC Error : Driver AIRBAG open,Defect observed vehicle level only,,N,0,0,1,0,0,0,N,N,Y,,2014126522.0
2024-09-11,1312BW500111A,SENSORTEC INNOVATION INDIA PRIVATE,RPAS sensor not working-Defective,THAR ROXX,1,RPAS sensor not working-Defective,Defect observed vehicle level only,,N,0,0,0,0,1,0,N,N,Y,,2014126534.0
2024-09-12,1502AAA01071N,Nippon Audiotronix pvt ltd,FM not working-Anteena defective,THAR ROXX,1,FM not working-Anteena defective,Defect observed vehicle level only,,N,0,0,1,0,0,0,N,N,Y,,2014126507.0
2024-09-11,0114DW500581T,MINDA VAST ACCESS SYSTEMS PVT LTD,RR DR LH outer handle hard to operate,THAR ROXX,1,Mechanism orientation wrong.,,ICA started by visual checking.,N,400,399,1,0,0,0,N,N,Y,,2014126580.0
2024-09-13,0401EBB01521N,NHK SPRING INDIA LTD,Stab Bar Link Rubber Boot Cut,THAR ROXX,1,Stab Bar Link Rubber Boot Cut,,ICA Started By Checking Visually.,N,240,228,12,0,0,0,N,N,Y,,2014126591.0
2024-09-11,0114DW500581V,MINDA VAST ACCESS SYSTEMS PVT LTD,RR DR LH outer handle hard to operate,THAR ROXX,1,Mechanism orientation wrong,,ICA started by visual checking.,N,400,399,1,0,0,0,N,N,Y,,2014126538.0
2024-09-11,1312BW500061N,SENSORTEC INNOVATION INDIA PRIVATE,FPAS Sensor inoperative,THAR ROXX,1,FPAS Sensor inoperative-DTC Error- FPAS sensor internal fault,Defect observed vehicle level only,,N,0,0,1,0,0,0,N,N,Y,,2014126552.0
2024-09-12,2301AW503260N,IAC INTERNATIONAL AUTOMOTIVE INDIA,A/C Function inoperative,THAR ROXX,1,Wrong CCM module assembles by supplier.,,ICA Started By Checking Visually.,N,0,0,1,0,0,0,N,N,Y,,2014126528.0
2024-09-16,2302CW503690N,ABHIJEET TECHNO-PLAST (I) P LTD,SPLASH SHIELD push pin fitment not possible.,THAR ROXX,1,Short Moulding On Splash Shield RR Wheel.,,ICA Started By Checking Visually.,N,0,0,2,0,0,0,N,N,Y,,2014125718.0
2024-09-12,0103AW501490N,SANJYOT METAL INDUSTRIES,Rear door intrusion beam spot broken,THAR ROXX,1,Rear door intrusion beam spot broken  due to   excess gap  obsd in bracket  joinery.,,100% Part Inspection.,N,88,86,0,0,2,0,N,N,Y,,2014126549.0
2024-09-14,0304ABH00881N,Hanon Automotive Systems India Priv,Excess Flashesh On Coolent Port,THAR ROXX,1,Excess Flashesh On Coolent Port,,ICA Started By Checking Visually.,N,140,139,1,0,0,0,N,N,Y,,2014126573.0
2024-09-12,0101BW504420N,JBM AUTO LIMITED,Cansole mtg bkt Position Shift.,THAR ROXX,1,Cansole mtg bkt Position Shift. Causing Part Fitment Issue.,,100% Part Inspection.,N,150,145,0,0,5,0,N,N,Y,,2014126660.0
2024-09-16,2302CW504951A,Exotech Plastics,Wheel Cap Assy Logo Missing,THAR ROXX,1,Wheel Cap Assy Logo Missing,,ICA started by visual checking,N,250,249,1,0,0,0,N,N,Y,,2014126693.0
2024-09-13,0103AW501510N,TRIKAYA COATINGS PVT.LTD.,PLP hole undersize obsd. Req 8.00mm Obsd 7.5mm,THAR ROXX,1,PLP hole undersize obsd. Req 8.00mm Obsd 7.5mm,,100% Part Inspection.,N,1300,1290,0,0,10,0,N,N,Y,,2014126652.0
2024-09-16,2302AW502080J,PLASTIC OMNIUM AUTO EXTERIORS (INDI,Front grill camera connection not possible.,THAR ROXX,1,Front grill camera socket wrong.,,ICA started by visual checking.,N,40,39,1,0,0,0,N,N,Y,,2014126673.0
2024-09-19,1702BW600601N,UNO MINDA LIMITED,Mic Inoperative,THAR ROXX,1,"Mic connection pigtel found missing,",,Part level ICA not possible,N,0,0,1,0,0,0,N,N,Y,,2014126731.0
2024-09-16,0101BW504440N,DG CORPORATION PVT. LTD,Reinf Parking Braker LWR - 04 spot  broken Out Of 04.04 Out 04 spot  broken.,THAR ROXX,1,Reinf Parking Braker LWR - 04 spot  broken Out Of 04.Reinf Parking Braker LWR-04 Out 04 spot  broken.,,100% Part Inspection.,N,350,295,5,0,50,0,N,N,Y,,2014126688.0
2024-09-17,0101EW504880N,P.M. ELECTRO AUTO PVT. LTD.,Bolt getting half torque,THAR ROXX,1,Thread Found Not Ok,,ICA started by checking With Thread Gauges,N,350,345,0,0,5,0,N,N,Y,,2014126676.0
