TDATE,BOMPARTNO,VINNumber,ScanValue
2024-12-01,2301AW502180N,MA1UN2JW7R2M28353, 019:2301AW502180N:DI061A:221024:01:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28353, 311:2301AW502200N:DI061A:171124:01:492
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28353,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0555
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28354, 019:2301AW502180N:DI061A:281124:01:000
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28354, 311:2301AW502200N:DI061A:241124:02:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28354,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0560
2024-12-01,2301AW502180N,MA1UN2JW7R2M28355, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28355, 311:2301AW502200N:DI061A:241124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28355,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0563
2024-12-01,2301AW502250N,MA1UN2YY2R2M28356, 019:2301AW502250N:DI061A:291124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28356, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28356,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0649
2024-12-01,2301AW502200N,MA1UN2JW7R2M28357, 311:2301AW502200N:DI061A:171124:01:491
2024-12-01,2301AW502180N,MA1UN2JW7R2M28357, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28357,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0554
2024-12-01,2301AW502180N,MA1UN2JW7R2M28358, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28358, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28358,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0561
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28359, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28359, 019:2301AW502180N:DI061A:281124:02:000
